company,date_announced,date_reported,jobs_cut_sg,jobs_cut_global,pct_workforce,industry,source_link,notes,status,event_id
"Low Morale, Broken Trust: How Companies Can Help Their Employees During Layoffs - The Straits Times",2023-04-02,2023-04-02,,,,Other,https://news.google.com/rss/articles/CBMitwFBVV95cUxNVFVMQUhTcnNVR0QwZDF1VkdJZG5vQW1rU1NQdlFLTEVoOV9Dck1sU3A0b0drd0N4MWs5OGNfSFRVZ1FWbUg5LTI4TkF1bURxV3dHSHhsTG1fbU1GLTRfbEFEeGxUQ0FqdlU4VnVBT0xlUUxvMUVoRVZMSW9CbWhRWkhuZkxfei1BdUk5aVJwLU9ZamxuVWVWMF9VbW9rRjAtVGpJZUZOOHpnRGtibHRSVjhNVGxUb00?oc=5,[gn:low morale broken trust how companies],rumored,low-morale-broken-trust-how-companies-can-help-their-employees-during-layoffs-the-straits-times-2023-04
H&m Asks Singapore Staff To Reapply For Jobs Around Asia As Part Of Restructuring,2026-05-20,2026-05-20,,,,Other,https://www.channelnewsasia.com/singapore/hm-restructuring-employee-job-role-reapply-southeast-asia-kl-manila-vietnam-6115716,Duplicate of existing H&M entry (2026-05-13),rumored,h-m-asks-singapore-staff-to-reapply-for-jobs-around-asia-as-part-of-restructuring-2026-05
"Limited Choices, Slower Customer Service Among Key Consumer Concerns Amid Telco Restructuring",2026-05-19,2026-05-19,,,,Other,https://www.straitstimes.com/tech/limited-choices-slower-customer-service-among-key-consumer-concerns-amid-telco-restructuring,Not a layoff event — consumer concerns article on telco restructuring,rumored,limited-choices-slower-customer-service-among-key-consumer-concerns-amid-telco-restructuring-2026-05
Gardenia,2026-05-20,2026-05-20,141,,,Other,https://www.asiaone.com/singapore/gardenia-lays-more-140-employees-moves-production-singapore-malaysia,Duplicate — Gardenia 141 staff retrenched; added to layoffs.csv,rumored,gardenia-2026-05
"Meta's Zuckerberg Says He Feels 'weight' Of Global Layoffs; Stamford Catering Fined $8,000 For Food Safety Lapses: Singapore Live News - Yahoo News",2026-05-21,2026-05-21,8000,,,Other,https://news.google.com/rss/articles/CBMigwJBVV95cUxQODJqLVJBb2tiT2NQV0k3Ynh0VXdtTHNkTlZFWGpsWUZGSVBfckpSMmxVSk9oVnNUU3BPOV9qU2tnQjJhbEk2MGFOQkJiSXU5Q2ltbDJBenVmOTJidHZYNTA0ZDJKWjRmUkIteHBQSF9VM25LUkY2YTB0TWhFYUdFN2x4N1R3eWN3T2VSbUFHTVBvTmp2M1Z4cFYyYk5vem1ObGNjekstTmxoNUxQRWNIaFh3ZUVlZ0Y3Y3ZRWDhuZlRUS2NuclJtdWV4RlI1WEdIOXZHZndWVUlBeVBSZm9UZTFTanJPeFhscllfMkdNS1RMSE5yekhQWHQ0SjVieUdsdjhr?oc=5,Commentary on Zuckerberg remarks — Meta event already in layoffs.csv (2026-05-20),rumored,meta-s-zuckerberg-says-he-feels-weight-of-global-layoffs-stamford-catering-fined-8-000-for-food-safety-lapses-singapore-live-news-yahoo-news-2026-05
Singapore,2026-05-20,2026-05-20,,,,Other,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPTlEwNEJOR3E5eE9wZFN3dFBQRHpOTWRSdzNObF9HMmVrWlRSaDc1N0xpMDRUZkEwd2w3WF95bVlVSXNjNTRFbUswT09JcFZLTlg1WlN2ZzVudE1rOFFpM2xGOUhxQ3VQVTNPcjc4UXRDMGRpckQ2UXR3WWs2OVlXdnZURlRwSnVSZXYxMkYtbEhHcHdjMWxfcGV3bmdZWmx0eF91WTNZcDc2Zkg2ZmhNNGM3aTNYNXc4M00ySHJ3ZHVkb19YOVliRDdwbkZ5WTkxWU40YjExVURkRnlI?oc=5,Generic Google News aggregator title — not a specific layoff event,rumored,singapore-2026-05
Singapore’s Ai-job,2026-05-20,2026-05-20,,,,Other,https://news.google.com/rss/articles/CBMiygFBVV95cUxNNExJeVg0ZVljWkhmZnNWQ2tTSHkzU2Y5aFVjYTFJcmdqM2xCY3lxWTY1T3Y4ZHFnZnpYMHBBOHlPOVRiSXFwdDZ3cEhLTHQzaFVpZDRLeXR0a2hneTQ5X0lxcldpR1VQbjZNNGhXVl8zWnp5ekZwd2FBTk9FM09WdDFYc21WaGt5OFVRbkY3UVo5ZkdNOGdEU3ljSHl4Vk5TSlEtbUgzSTJ4ajlrSzBDVmdxUU45eUpKUERvYUFDeHdtYzZkYk1valFn0gHKAUFVX3lxTFBFTlBNdDNHSG0yX3R6ekU5VUN1X1RMN28tRW1tUHFnV1BLWkJLQlJOMlFsSTZYT0p3S294ZUVCRncxajlua0EwbXNNSVlUdGRXNWJBMEdXNkFaT09YeXk0bTQzZUVOdFowMDVyZDBZMHVDdVpWa0I0Q2F5NjU5bVJvZ2U5LW00RXhTTlIxQk9fQU1tVjdGUUpHckhpZkthS054dVRoRmg3OXd6ekhiUzdWUnVncWYwY3BNbGRlaWFLeTZsZUQ5bHRwTFE?oc=5,Commentary on AI/job policy debate — not a specific layoff event,rumored,singapore-s-ai-job-2026-05
Meta Begins Layoffs Across Singapore And Asia As Ai Investments Reshape Workforce - Et Hrsea,2026-05-21,2026-05-21,,,,Other,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOenhSS0hFRlc0ZlpRbE5ydVJ3cUZKUzJtUl9iZmMwaE9JdDNZZGdUalhfUC1UUzBBZmJrWmZrcUlVbDFMVzRQTTl4V19VOGh2Yno5VGUyUVBBSHI3dHQ0TDFhMEp4bm0xWTBOWm5lNG1xT3ZBbGFZNC1XZ1FZY2ExZmh6dGtxNXpQTlN3LVdYdW02d0lpUmI5M0pCcXFVOUE2LTZpcTcxdUpzWlBhTEM2SC1TcGxZTS10YUV3Zm5ZUWJEN1M3V2NYUzJKeG9OSlJQNEHSAdcBQVVfeXFMTXd3MDNCN1RnUVB6X0pwX1cxdDM5ZWJTSzE2ZVJYLVlpN3VzMTI2bmlTdVBBM0JtNDgwSnRwY0poalFKY2FqdHhIZmZUeXlsRXNoaGxGZ0F0Z0dvOVd4aGx3YzNSRmY3eHJDeE1sTW9Qd0dQbVNLbkxybHNoZEVpZTVBSTdGalVGLUtnYXJTdlAyYlBENklUY0NlNDZxU3RtVWw2Z1NycFQ3TlZ5YU5VckQ2SF8tMHFvN2xJNkRvOVpHUVhlMHh2cVU0VGRYTlpTYlZZWEY4a1U?oc=5,Duplicate of existing Meta entry (2026-05-20),rumored,meta-begins-layoffs-across-singapore-and-asia-as-ai-investments-reshape-workforce-et-hrsea-2026-05
H&m Asks Singapore Staff To Reapply For Jobs Around Asia As Part Of Restructuring - Cna,2026-05-20,2026-05-20,,,,Other,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQZlJpRmRYXzhxd1ZxdFFmWENxMFk0TXBRV0N0RURqeWVEZTVzLTIwX3FTekFEYTZIQXJ3dHRxdWpxR1NjaTlJM0tRdURlT01GRWZjRmRVVzBNdDI3UFl1V2pMM21GbG56WXhGOHdyUlJ2MUpuSEhGaURHbzdOS3JkZ293Um1qWnF4cEhkaWNQNFQwbUFHUF9Jd2JvcXdLTVAwbEdBWTVZVlVCRnAxNktZdUo5d0xfc0dnRld3Y3EzQnROQTA?oc=5,Duplicate — H&M restructuring already covered by H&M entry (2026-05-13),rumored,h-m-asks-singapore-staff-to-reapply-for-jobs-around-asia-as-part-of-restructuring-cna-2026-05
"Singapore Among First Hit As Meta Launches Major Ai-driven Layoffs Affecting 8,000 Workers - The Independent Singapore News",2026-05-21,2026-05-21,,,,Other,https://news.google.com/rss/articles/CBMiuAFBVV95cUxQcDQyTzNlNGkwa2Z5WWxLWk1XZVZLUW5uSlE1NEhLY0NfWFpZYVVJVUNPMGlZSEFHNDNDd0pjb01WbVVveDlZUFFJUlM3UVVuWnJWNy1yMVZwQ2liYy05QlV3d0p0dzlPY0d2cXlKTEFMTXpXelRFSXRGVm14anVwUzB6WGZQUUlJeXVaUC1oSDVoMjNIZi02Y3VLXzdWX2x2UExmSGRSbFNlZHptM2daeFZYNVU5N0Vp?oc=5,Duplicate of existing Meta entry (2026-05-20),rumored,singapore-among-first-hit-as-meta-launches-major-ai-driven-layoffs-affecting-8-000-workers-the-independent-singapore-news-2026-05
